crm_record_id,sf_account_id,account_name,parent_account_name,state,region,segment,account_type,owner_rep,contact_name,contact_email,contact_role,contact_subject,contact_grade_band,opportunity_name,product_name,product_family,stage,close_date,contract_end_date,arr_usd,seats_purchased,quote_id,is_duplicate_candidate,source,true_golden_customer_id
CRM-10001,SF-A10001,Houston Independent School District,Houston ISD,CO,West,Charter Network,District,A. Rivera,Praveen Jackson,pjackson@houstonschools.org,Math Coordinator,Science,8,Houston Independent School District - Imagine Math,Imagine Math,Supplemental Math,Closed Won,2025-05-01,2027-04-06,60050,12000,Q-9270,N,Salesforce,GC0001
CRM-10002,SF-A10002,Houston ISD - Supplemental,Houston ISD - Supplemental,CO,West,charter network,District,A. Rivera,Laura Johnson,laura.johnson@houstonschools.org,Curriculum Director,,6,Houston ISD - Supplemental - Imagine Learning PD,Imagine Learning PD,Professional Learning,Closed Lost,2024-01-21,2027-08-13,88814,300,Q-7446,N,Salesforce,GC0001
CRM-10003,SF-A10003,Houston School District,Houston ISD,CO,West,Charter Network,District,A. Rivera,Tanisha Wilson,tanishaw@houstonschools.org,Principal,,10,Houston School District - Courseware,Courseware,Core Courseware,Negotiation,2024-07-05,2026-02-21,62211,800,Q-7677,N,Salesforce,GC0001
CRM-10004,SF-A10004,Houston ISD - Supplemental,Houston ISD,CO,West,Charter Network,District,A. Rivera,Michael Martin,michael.martin@houstonschools.org,Teacher,,,Houston ISD - Supplemental - Imagine Math,Imagine Math,Supplemental Math,Closed Won,2025-04-21,2026-09-20,252043,500,Q-5938,N,Salesforce,GC0001
CRM-10005,SF-A10005,Houston ISD - Supplemental,,CO,West,charter network,District,A. Rivera,Mark Smith,marks@houstonschools.org,Literacy Specialist,Math,6,Houston ISD - Supplemental - Courseware,Courseware,Core Courseware,Closed Won,2025-06-02,2027-10-26,56207,12000,Q-9015,Y,Salesforce,GC0001
CRM-10006,SF-A10006,Houston Public Schools,Houston Public Schools,CO,West,Charter Network,District,A. Rivera,Sarah Moore,smoore@houstonschools.org,Literacy Specialist,ELA,3,Houston Public Schools - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Lost,2025-09-16,2027-11-16,86511,300,Q-7662,N,Salesforce,GC0001
CRM-10007,SF-A10007,Houston ISD - Supplemental,Houston ISD - Supplemental,CO,West,charter network,District,A. Rivera,Carlos Thomas,carlost@houstonschools.org,Math Coordinator,,3,Houston ISD - Supplemental - Courseware,Courseware,Core Courseware,Closed Won,2024-11-09,2027-11-11,122046,1500,Q-7816,N,Salesforce,GC0001
CRM-10008,SF-A10008,Houston ISD - Supplemental,Houston Schools,CO,West,charter network,District,A. Rivera,Kevin Jackson,kevinj@houstonschools.org,District Admin,Math,,Houston ISD - Supplemental - Courseware,Courseware,Core Courseware,Closed Won,2024-11-05,2026-01-15,179751,500,Q-5446,N,Salesforce,GC0001
CRM-10009,SF-A10009,Riverview ISD,Riverview ISD,AZ,,Large District,District,A. Rivera,Monique Miller,moniquem@riverviewschools.org,Teacher,Math,6,Riverview ISD - StudySync,StudySync,Core ELA,Closed Lost,2024-08-19,2027-06-20,88381,1500,Q-9821,N,Salesforce,GC0002
CRM-10010,SF-A10010,Riverview ISD,Riverview ISD,AZ,west,Large District,District,A. Rivera,Nina Patel,npatel@riverviewschools.org,Instructional Coach,ELA,,Riverview ISD - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Won,2024-09-27,2027-10-03,119241,1500,Q-6841,N,Salesforce,GC0002
CRM-10011,SF-A10011,Riverview Public Schools,Riverview Public Schools,AZ,West,Large District,District,A. Rivera,John Lee,,Teacher,General,,Riverview Public Schools - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Won,2025-11-21,2027-08-13,116339,12000,Q-7207,N,Salesforce,GC0002
CRM-10012,SF-A10012,Riverview Public Schools,,AZ,West,Large District,District,B. Shah,Praveen Jackson,pjackson@riverviewschools.org,Principal,,,Riverview Public Schools - Course Ware,Course Ware,Core Courseware,Proposal,2024-04-28,2027-02-18,254431,12000,Q-9444,N,Salesforce,GC0002
CRM-10013,SF-A10013,Riverview ISD,,AZ,West,Large District,District,A. Rivera,Praveen Anderson,,Math Coordinator,Literacy,4,Riverview ISD - Twig Science,Twig Science,Science,Closed Lost,2025-02-21,2026-04-06,37858,1500,Q-6261,N,Salesforce,GC0002
CRM-10014,SF-A10014,Riverview ISD - Supplemental,,AZ,West,Large District,District,D. Nguyen,Michael White,michaelw@riverviewschools.org,Teacher,ELA,9,Riverview ISD - Supplemental - BookheadEd StudySync,BookheadEd StudySync,Core ELA,Negotiation,2024-06-01,2027-04-03,123935,800,Q-9451,N,Salesforce,GC0002
CRM-10015,SF-A10015,Oak Valley Independent School District,,,South,Mid-Market District,District,A. Rivera,Sanjay Taylor,sanjayt@oak_valleyschools.org,Principal,Literacy,,Oak Valley Independent School District - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Won,2025-03-26,2026-04-13,123486,300,Q-8358,N,Salesforce,GC0003
CRM-10016,SF-A10016,Oak Valley School District,,VA,South,Mid-Market District,District,A. Rivera,Tanisha Martin,tanisham@oak_valleyschools.org,Principal,Math,3,Oak Valley School District - Courseware,Courseware,Core Courseware,Proposal,2024-08-20,2026-04-03,82612,12000,Q-5823,N,Salesforce,GC0003
CRM-10017,SF-A10017,Oak Valley School District,Oak Valley School District,VA,South,Mid-Market District,District,A. Rivera,Jane Thomas,jthomas@oak_valleyschools.org,Instructional Coach,,7,Oak Valley School District - Imagine Math,Imagine Math,Supplemental Math,Negotiation,2024-09-18,2027-11-14,28622,800,Q-6294,Y,Salesforce,GC0003
CRM-10018,SF-A10018,Oak Valley School District - Supplemental,Oak Valley Schools,VA,South,Mid Market,District,A. Rivera,Michael Martin,,Literacy Specialist,,10,Oak Valley School District - Supplemental - StudySync,StudySync,Core ELA,Closed Won,2025-09-12,2027-05-24,250689,12000,Q-9973,N,Salesforce,GC0003
CRM-10019,SF-A10019,Oak Valley Independent School District,Oak Valley Schools,VA,South,Mid-Market District,District,A. Rivera,Nina Martin,,Curriculum Director,,2,Oak Valley Independent School District - Imagine Learning PD,Imagine Learning PD,Professional Learning,Proposal,2025-06-27,2027-05-29,58695,800,Q-8947,N,Salesforce,GC0003
CRM-10020,SF-A10020,Oak Valley School District - Supplemental,,VA,South,Mid-Market District,District,A. Rivera,Mark Jackson,markj@oak_valleyschools.org,Curriculum Director,General,1,Oak Valley School District - Supplemental - IM,IM,Supplemental Math,Negotiation,2024-01-26,2027-09-27,121374,3000,Q-5517,N,Salesforce,GC0003
CRM-10021,SF-A10021,Oak Valley School District - Supplemental,Oak Valley School District - Supplemental,VA,south,Mid-Market District,District,A. Rivera,Michael Patel,michaelp@oak_valleyschools.org,District Admin,General,6,Oak Valley School District - Supplemental - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Negotiation,2025-09-22,2027-02-22,56536,5000,Q-8632,N,Salesforce,GC0003
CRM-10022,SF-A10022,Pine Hills ISD,Pine Hills Schools,VA,South,Large District,District,A. Rivera,K. Anderson,kevin.anderson@pine_hillsschools.org,Literacy Specialist,Math,,Pine Hills ISD - Imagine Math,Imagine Math,Supplemental Math,Closed Won,2024-08-26,2026-12-03,248417,12000,Q-5023,N,Salesforce,GC0004
CRM-10023,SF-A10023,Pine Hills Independent School District,Pine Hills Schools,,South,Large District,District,A. Rivera,Eric Martin,,Teacher,ELA,1,Pine Hills Independent School District - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Won,2025-09-21,2026-02-14,179543,800,Q-5255,Y,Salesforce,GC0004
CRM-10024,SF-A10024,Pine Hills Public Schools,,VA,south,Large,District,A. Rivera,Michael Patel,mpatel@pine_hillsschools.org,District Admin,STEM,1,Pine Hills Public Schools - StudySync,StudySync,Core ELA,Closed Won,2025-11-01,2027-10-29,255033,5000,Q-8523,N,Salesforce,GC0004
CRM-10025,SF-A10025,Pine Hills Public Schools,Pine Hills ISD,VA,South,Large District,District,A. Rivera,Alicia Jackson,alicia.jackson@pine_hillsschools.org,Teacher,General,,Pine Hills Public Schools - StudySync,StudySync,Core ELA,Closed Won,2025-08-23,2027-07-30,121400,5000,Q-7896,N,Salesforce,GC0004
CRM-10026,SF-A10026,Pine Hills ISD,Pine Hills Schools,VA,South,Large,District,A. Rivera,Emily Miller,emiller@pine_hillsschools.org,Literacy Specialist,STEM,,Pine Hills ISD - Edgenuity Courseware,Edgenuity Courseware,Core Courseware,Proposal,2024-01-30,2026-07-04,61062,800,Q-6486,N,Salesforce,GC0004
CRM-10027,SF-A10027,Pine Hills Public Schools,Pine Hills ISD,VA,South,Large District,District,C. Thomas,John Garcia,johng@pine_hillsschools.org,,,,Pine Hills Public Schools - Imagine Learning PD,Imagine Learning PD,Professional Learning,Negotiation,2025-05-12,2027-09-14,87785,800,Q-9197,Y,Salesforce,GC0004
CRM-10028,SF-A10028,Maple Grove ISD - Supplemental,Maple Grove ISD,CA,West,large district,District,B. Shah,Sanjay White,,Math Coordinator,Literacy,,Maple Grove ISD - Supplemental - Twig Science,Twig Science,Science,Closed Lost,2025-11-15,2026-12-29,27505,12000,Q-8573,Y,Salesforce,GC0005
CRM-10029,SF-A10029,Maple Grove ISD - Supplemental,,CA,West,Large District,District,D. Nguyen,Sanjay Moore,sanjaym@maple_groveschools.org,Teacher,,9,Maple Grove ISD - Supplemental - Twig Science,Twig Science,Science,Closed Won,2025-02-09,2026-11-14,176562,500,Q-6377,Y,Salesforce,GC0005
CRM-10030,SF-A10030,Maple Grove ISD,Maple Grove Schools,CA,west,large district,District,D. Nguyen,Kevin Anderson,kevina@maple_groveschools.org,Literacy Specialist,STEM,9,Maple Grove ISD - Imagine Learning PD,Imagine Learning PD,Professional Learning,Closed Lost,2024-11-26,2027-10-05,58473,1500,,N,Salesforce,GC0005
CRM-10031,SF-A10031,Maple Grove ISD - Supplemental,Maple Grove ISD - Supplemental,CA,WEST,Large District,School,D. Nguyen,Sanjay Lee,slee@maple_groveschools.org,Literacy Specialist,Math,12,Maple Grove ISD - Supplemental - Courseware,Courseware,Core Courseware,Closed Won,2024-11-25,2027-09-12,89214,500,Q-8690,Y,Salesforce,GC0005
CRM-10032,SF-A10032,Maple Grove ISD,,CA,West,Large District,District,D. Nguyen,Praveen Brown,praveenb@maple_groveschools.org,Literacy Specialist,,1,Maple Grove ISD - ImagineMath,ImagineMath,Supplemental Math,Negotiation,2024-10-17,2026-09-16,180874,12000,Q-5667,N,Salesforce,GC0005
CRM-10033,SF-A10033,Maple Grove ISD - Supplemental,Maple Grove ISD,CA,West,Large District,District,D. Nguyen,Emily Taylor,emilyt@maple_groveschools.org,,General,,Maple Grove ISD - Supplemental - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Proposal,2024-07-03,2026-08-08,63967,500,Q-6126,Y,Salesforce,GC0005
CRM-10034,SF-A10034,Maple Grove ISD,Maple Grove Schools,CA,west,Large District,District,D. Nguyen,Praveen Lee,,Curriculum Director,Literacy,,Maple Grove ISD - Imagine Learning PD,Imagine Learning PD,Professional Learning,Negotiation,2024-08-27,2027-07-01,41070,12000,Q-6589,N,Salesforce,GC0005
CRM-10035,SF-A10035,Maple Grove Public Schools,,CA,West,Large District,District,D. Nguyen,Laura Miller,lmiller@maple_groveschools.org,Teacher,STEM,,Maple Grove Public Schools - StudySync,StudySync,Core ELA,Closed Won,2024-10-06,2027-04-06,118414,12000,Q-6818,N,Salesforce,GC0005
CRM-10036,SF-A10036,Cedar Ridge Public Schools,,NC,South,Large District,District,E. Carter,Jane Taylor,,Literacy Specialist,Literacy,7,Cedar Ridge Public Schools - Twig Science,Twig Science,Science,Closed Won,2024-03-22,2026-01-20,59533,12000,Q-9987,N,Salesforce,GC0006
CRM-10037,SF-A10037,Cedar Ridge ISD - Supplemental,,NC,South,Large District,District,E. Carter,Priya Miller,,,,,Cedar Ridge ISD - Supplemental - ImagineMath,ImagineMath,Supplemental Math,Closed Won,2025-06-20,2027-01-05,29618,3000,Q-9158,N,Salesforce,GC0006
CRM-10038,SF-A10038,Cedar Ridge Public Schools,Cedar Ridge ISD,NC,south,Large District,District,E. Carter,Jane Taylor,,Curriculum Director,,12,Cedar Ridge Public Schools - Courseware,Courseware,Core Courseware,Negotiation,2025-10-08,2026-07-06,248209,300,Q-8749,Y,Salesforce,GC0006
CRM-10039,SF-A10039,Cedar Ridge ISD,,NC,South,Large District,District,E. Carter,David Lee,dlee@cedar_ridgeschools.org,Literacy Specialist,Science,,Cedar Ridge ISD - Courseware,Courseware,Core Courseware,Closed Won,2025-05-23,2027-05-25,64507,800,Q-8477,Y,Salesforce,GC0006
CRM-10040,SF-A10040,Cedar Ridge Indep. SD,Cedar Ridge Indep. SD,NC,South,Large District,District,E. Carter,E. Miller,ericm@cedar_ridgeschools.org,Curriculum Director,,10,Cedar Ridge Indep. SD - CW,CW,Core Courseware,Closed Lost,2025-11-26,2026-06-13,23339,12000,Q-8589,Y,Salesforce,GC0006
